"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"N",1993,2005,11,"1B",0,632,1493,182,362,68,8,36,175,9,9,126,367,242,371,305
"N",1969,1979,11,"SS",0,915,2113,237,458,75,17,14,190,19,18,238,471,217,288,296
"N",1975,1987,13,"OF",0,1555,5248,664,1349,189,43,56,458,168,78,471,616,257,341,317
"N",1999,2008,10,"OF",0,1302,4594,632,1272,255,19,165,630,82,45,314,949,277,448,326
"N",1994,2005,12,"C",0.17,1188,3836,465,940,211,4,167,570,6,10,475,997,245,433,330
"N",1992,2007,16,"SS",0,1678,5539,872,1348,302,41,249,816,136,56,630,1294,243,448,321
"N",1984,1998,15,"3B",0.07,1893,7032,851,1897,356,39,140,946,127,59,486,979,270,391,316
"N",1961,1972,12,"1B",0,1362,4648,594,1273,192,57,159,682,90,57,379,1140,274,442,328
"N",1956,1966,11,"OF",0,841,1796,256,434,71,23,43,176,26,19,164,318,242,379,309
"N",1968,1985,18,"3B",0,1908,6144,865,1694,273,57,203,890,38,40,687,741,276,438,352
"N",1964,1974,11,"3B",0,1128,3555,436,869,132,26,57,323,43,38,516,466,244,344,341
"N",1977,1996,20,"SS",0.3,2293,8288,1231,2365,412,55,185,1003,236,109,850,874,285,415,352
"N",1970,1983,14,"C",0,1013,3001,407,719,121,11,122,445,22,12,562,607,240,409,358
"N",1971,1987,17,"1B",0.29,1896,7349,1012,2192,415,47,241,1125,89,49,448,911,298,466,337
"N",1950,1961,11,"2B",0.09,1021,3419,425,877,137,28,64,333,34,29,188,355,257,369,300
"N",1979,2002,23,"OF",0.3,2502,8872,1571,2605,430,113,170,980,808,146,1330,966,294,425,385
"N",1950,1967,17,"OF",0.12,1734,5890,811,1604,256,52,104,591,115,57,524,583,272,386,332
"N",1998,2007,10,"1B",0.1,846,2373,287,613,116,12,69,324,6,9,235,386,258,405,328
"N",1990,2008,19,"OF",0.26,2591,9157,1412,2591,596,68,354,1439,128,87,1155,1218,283,479,367
"N",1963,1973,11,"SS",0.18,1195,3927,442,999,140,44,55,342,63,30,300,622,254,354,310
"N",1964,1977,14,"C",0.07,1061,3442,311,813,118,13,82,381,12,17,271,565,236,350,292
"N",1963,1972,10,"OF",0.1,1286,4553,718,1203,157,44,93,418,200,105,672,575,264,379,362
"N",1980,1989,10,"OF",0,963,2999,419,778,161,16,91,371,134,56,236,537,259,415,313
"N",1992,2007,16,"OF",0.06,1736,5611,874,1564,343,33,278,987,91,41,817,1077,279,500,370
"N",1958,1978,21,"1B",0.1,2442,7184,931,1913,307,33,215,1044,35,33,1052,877,266,408,360
"N",1949,1966,16,"C",0.5,1573,5026,585,1276,179,18,179,657,26,28,424,477,254,404,312
"N",1961,1970,10,"3B",0.1,1002,3303,419,887,125,20,77,399,17,10,266,410,269,388,328
"N",1992,2006,15,"C",0.2,1503,5319,674,1527,267,19,260,864,8,19,357,969,287,491,337
"N",1959,1972,14,"C",0,908,2189,189,487,82,12,32,230,9,8,201,299,222,315,291
"N",1971,1982,12,"1B",0,1215,3436,455,855,140,16,131,498,31,22,504,473,249,413,344
"N",1952,1964,10,"OF",0.1,902,2558,331,670,88,31,66,284,21,18,245,470,262,398,329
"N",1963,1981,16,"C",0.12,1421,4339,352,1092,160,22,39,404,15,23,399,600,252,326,316
"N",1992,2005,14,"C",0,1047,3372,319,849,176,3,80,395,10,19,175,514,252,377,290
"N",1970,1985,16,"SS",0.31,2247,8418,987,2191,262,99,15,525,318,105,474,569,260,320,300
"N",1964,1976,13,"OF",0.08,1322,4623,550,1331,180,33,78,525,113,63,244,626,288,392,326
"N",1981,2000,20,"3B",0.1,2507,8951,1130,2280,443,39,360,1341,96,65,634,1602,255,434,308
"N",1971,1986,16,"OF",0.19,1754,5913,784,1615,277,33,235,901,87,70,560,852,273,450,336
"N",1977,1990,14,"OF",0.14,1415,5045,614,1342,223,37,144,723,163,61,342,1000,266,411,312
"N",1982,1993,10,"OF",0.1,1201,4151,451,1098,209,26,98,521,27,25,253,672,265,398,306
"N",1969,1989,21,"3B",0.1,2687,8973,1344,2223,329,36,414,1354,98,68,1605,1410,248,431,361
"N",1948,1961,14,"OF",0.21,1544,5145,833,1424,229,57,164,703,50,33,521,638,277,439,346
"N",1968,1981,14,"OF",0.21,1849,7043,1258,1886,302,66,332,1024,461,169,914,1757,268,471,353
"N",1990,2005,15,"SS",0.13,1651,5681,840,1551,252,72,57,537,172,100,772,914,273,373,360
"N",1986,1998,13,"OF",0,905,1964,248,518,81,8,62,284,19,12,222,451,264,408,338
"N",1976,1988,12,"OF",0,1064,2708,367,670,135,4,121,410,16,20,406,428,247,434,351
"N",1959,1971,13,"OF",0,912,2267,307,594,87,26,21,175,37,32,295,234,262,351,347
"N",1983,1994,12,"1B",0,1088,3108,351,819,191,12,90,455,50,40,353,450,264,420,336
"N",1976,1986,11,"1B",0.27,1418,4802,640,1253,204,12,208,782,8,7,816,862,261,438,366
"N",1975,1992,18,"C",0,1329,4069,393,998,190,15,59,436,6,22,320,450,245,343,301
"N",1987,2000,14,"1B",0.14,1465,5520,761,1593,300,27,126,663,196,63,472,348,289,421,344
"N",1956,1965,10,"OF",0.1,969,3054,370,808,133,48,44,321,21,6,221,474,265,383,315
"N",1964,1979,16,"SS",0.38,2078,7651,899,1931,254,80,14,527,100,85,684,759,252,312,314
"N",1988,2007,20,"C",0.3,1377,4530,520,1236,249,10,112,588,25,24,212,499,273,406,309
"N",1953,1962,10,"3B",0,612,1745,204,425,60,10,27,171,16,15,142,252,244,336,303
"N",1980,1989,10,"OF",0,904,2483,374,634,92,16,23,152,218,63,222,301,255,333,318
"N",1956,1971,13,"3B",0,1324,4369,386,1103,135,26,60,457,19,24,333,459,252,336,308
"N",1991,2001,11,"C",0,975,2874,351,784,151,9,94,419,11,10,255,574,273,430,331
"N",1954,1966,13,"OF",0,1184,2879,364,798,123,34,115,470,12,17,224,416,277,463,329
"N",1945,1961,17,"C",0.06,1309,3826,342,908,177,20,79,441,2,3,382,522,237,356,312
"N",1950,1962,13,"OF",0.08,1352,4250,541,1113,162,35,48,438,97,48,310,439,262,350,314
"N",1995,2006,12,"OF",0,998,2462,359,675,118,32,21,244,89,44,229,445,274,374,336
"N",1960,1975,16,"2B",0.19,1763,6185,888,1530,231,71,197,697,63,59,882,974,247,403,343
"N",1979,1991,10,"2B",0,1071,3700,523,970,177,30,75,391,113,55,428,606,262,387,339
