 COLCORD HS,COLCORD,DELAWARE COUNTY,743,238,2016-09-14 18:06:14,
 COLEMAN HS,COLEMAN,JOHNSTON COUNTY,734,67,2016-09-14 18:06:14,
 COLLINSVILLE HS,COLLINSVILLE,TULSA COUNTY,740,711,2016-09-14 18:06:14,
 COMANCHE HS,COMANCHE,STEPHENS COUNTY,735,299,2016-09-14 18:06:14,
 COMMERCE HS,COMMERCE,OTTAWA COUNTY,743,214,2016-09-14 18:06:14,
 COPAN HS,COPAN,WASHINGTON COUNTY,740,92,2016-09-14 18:06:14,
 CORDELL HS,CORDELL,WASHITA COUNTY,736,138,2016-09-14 18:06:14,
 MIDWAY HS,COUNCIL HILL,MUSKOGEE COUNTY,744,73,2016-09-14 18:06:14,
 COVINGTON-DOUGLAS HS,COVINGTON,GARFIELD COUNTY,737,85,2016-09-14 18:06:14,
 COWETA HS,COWETA,WAGONER COUNTY,744,686,2016-09-14 18:06:14,
 COWETA INTERMEDIATE HS,COWETA,WAGONER COUNTY,744,238,2016-09-14 18:06:14,
 COYLE HS,COYLE,LOGAN COUNTY,730,85,2016-09-14 18:06:14,
 CRESCENT HS,CRESCENT,LOGAN COUNTY,730,166,2016-09-14 18:06:14,
 CUSHING HS,CUSHING,PAYNE COUNTY,740,505,2016-09-14 18:06:14,
 CYRIL HS,CYRIL,CADDO COUNTY,730,94,2016-09-14 18:06:14,
 DAVIDSON HS,DAVIDSON,TILLMAN COUNTY,735,41,2016-09-14 18:06:14,
 DAVIS HS,DAVIS,MURRAY COUNTY,730,256,2016-09-14 18:06:14,
 DEPEW HS,DEPEW,CREEK COUNTY,740,161,2016-09-14 18:06:14,
 DEWEY HS,DEWEY,WASHINGTON COUNTY,740,371,2016-09-14 18:06:14,
 DOVER HS,DOVER,KINGFISHER COUNTY,737,74,2016-09-14 18:06:14,
 DRUMMOND HS,DRUMMOND,GARFIELD COUNTY,737,83,2016-09-14 18:06:14,
 OLIVE HS,DRUMRIGHT,CREEK COUNTY,740,108,2016-09-14 18:06:14,
 DRUMRIGHT HS,DRUMRIGHT,CREEK COUNTY,740,172,2016-09-14 18:06:14,
 DUKE HS,DUKE,JACKSON COUNTY,735,50,2016-09-14 18:06:14,
 EMPIRE HS,DUNCAN,STEPHENS COUNTY,735,145,2016-09-14 18:06:14,
 DUNCAN HS,DUNCAN,STEPHENS COUNTY,735,1024,2016-09-14 18:06:14,
 DURANT HS,DURANT,BRYAN COUNTY,747,843,2016-09-14 18:06:14,
 SILO HS,DURANT,BRYAN COUNTY,747,214,2016-09-14 18:06:14,
 DUSTIN HS,DUSTIN,HUGHES COUNTY,748,21,2016-09-14 18:06:14,
 EAGLETOWN HS,EAGLETOWN,MCCURTAIN COUNTY,747,68,2016-09-14 18:06:14,
 EARLSBORO HS,EARLSBORO,POTTAWATOMIE COUNTY,748,98,2016-09-14 18:06:14,
 NORTH HS,EDMOND,OKLAHOMA COUNTY,730,2358,2016-09-14 18:06:14,
 SANTA FE HS,EDMOND,OKLAHOMA COUNTY,730,1878,2016-09-14 18:06:14,
 DEER CREEK HS,EDMOND,OKLAHOMA COUNTY,730,981,2016-09-14 18:06:14,
 MEMORIAL HS,EDMOND,OKLAHOMA COUNTY,730,2021,2016-09-14 18:06:14,
 ELDORADO HS,ELDORADO,JACKSON COUNTY,735,40,2016-09-14 18:06:14,
 ELGIN HS,ELGIN,COMANCHE COUNTY,735,522,2016-09-14 18:06:14,
 ELK CITY HS,ELK CITY,BECKHAM COUNTY,736,365,2016-09-14 18:06:14,
 MERRITT HS,ELK CITY,BECKHAM COUNTY,736,135,2016-09-14 18:06:14,
 SENIOR HS,ELMORE CITY,GARVIN COUNTY,734,141,2016-09-14 18:06:14,
 EL RENO HS,EL RENO,CANADIAN COUNTY,730,826,2016-09-14 18:06:14,
 CHISHOLM HS,ENID,GARFIELD COUNTY,737,245,2016-09-14 18:06:14,
 ENID HS,ENID,GARFIELD COUNTY,737,1674,2016-09-14 18:06:14,
 ERICK HS,ERICK,BECKHAM COUNTY,736,61,2016-09-14 18:06:14,
 EUFAULA HS,EUFAULA,MCINTOSH COUNTY,744,373,2016-09-14 18:06:14,
 WOODLAND HS,FAIRFAX,OSAGE COUNTY,746,132,2016-09-14 18:06:14,
 FAIRLAND HS,FAIRLAND,OTTAWA COUNTY,743,172,2016-09-14 18:06:14,
 FAIRVIEW HS,FAIRVIEW,MAJOR COUNTY,737,161,2016-09-14 18:06:14,
 FARGO HS,FARGO,ELLIS COUNTY,738,59,2016-09-14 18:06:14,
 FELT HS,FELT,CIMARRON COUNTY,739,19,2016-09-14 18:06:14,
 FLETCHER HS,FLETCHER,COMANCHE COUNTY,735,133,2016-09-14 18:06:14,
 FORGAN HS,FORGAN,BEAVER COUNTY,739,54,2016-09-14 18:06:14,
 FORT COBB-BROXTON HS,FORT COBB,CADDO COUNTY,730,92,2016-09-14 18:06:14,
 FORT GIBSON HS,FORT GIBSON,MUSKOGEE COUNTY,744,574,2016-09-14 18:06:14,
 FORT SUPPLY HS,FORT SUPPLY,WOODWARD COUNTY,738,43,2016-09-14 18:06:14,
 FORT TOWSON HS,FORT TOWSON,CHOCTAW COUNTY,747,136,2016-09-14 18:06:14,
 FREDERICK HS,FREDERICK,TILLMAN COUNTY,735,257,2016-09-14 18:06:14,
 FREEDOM HS,FREEDOM,WOODS COUNTY,738,17,2016-09-14 18:06:14,
 GAGE HS,GAGE,ELLIS COUNTY,738,36,2016-09-14 18:06:14,
 GANS HS,GANS,SEQUOYAH COUNTY,749,125,2016-09-14 18:06:14,
 GARBER HS,GARBER,GARFIELD COUNTY,737,107,2016-09-14 18:06:14,
 GEARY HS,GEARY,BLAINE COUNTY,730,121,2016-09-14 18:06:14,
 GERONIMO HS,GERONIMO,COMANCHE COUNTY,735,81,2016-09-14 18:06:14,
