School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
BATTIEST ES,BATTIEST,BATTIEST,MCCURTAIN COUNTY,12.5,13,18,,,,,,30,158,,15.04
BATTIEST HS,BATTIEST,BATTIEST,MCCURTAIN COUNTY,7.7,,,12,11,17,26,,,,66,8.57
BEARDEN PUBLIC SCHOOL,OKEMAH,OKEMAH,OKFUSKEE COUNTY,7.1,9,12,,,,,,18,92,,15.49
BEAVER ES,BEAVER,BEAVER,BEAVER COUNTY,17.6,21,25,,,,,,49,215,,15
BEAVER HS,BEAVER,BEAVER,BEAVER COUNTY,12.4,,,32,26,29,28,,,,115,9.27
BEGGS ES,BEGGS,BEGGS,OKMULGEE COUNTY,28.5,,,,,,,1,147,378,,18.46
BEGGS HS,BEGGS,BEGGS,OKMULGEE COUNTY,26.1,,,88,81,100,76,,,,345,13.22
BEGGS MS,BEGGS,BEGGS,OKMULGEE COUNTY,12.3,85,95,,,,,,,180,,14.63
BEGGS UPPER ES,BEGGS,BEGGS,OKMULGEE COUNTY,9.9,,,,,,,,,184,,18.59
BEGINNINGS ACADEMY,LAWTON,LAWTON,COMANCHE COUNTY,19,,,,,,,,396,,,20.84
BELFONTE BELL ES (ADAIR CNTY),STILWELL,MULDROW,ADAIR COUNTY,7.4,3,11,,,,,,45,67,,15.14
BELFONTE PUBLIC SCHOOL,MULDROW,MULDROW,SEQUOYAH COUNTY,9.6,6,8,,,,,,37,81,,12.29
BELL ES,TULSA,TULSA,TULSA COUNTY,27.1,,,,,,,,116,314,,15.87
BELLE ISLE MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,23.4,155,139,,,,,,,450,,19.23
BENJAMIN FRANKLIN SCI. ACADEMY,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,34.2,72,62,,,,,,128,481,,17.81
BENNETT ES,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,19.6,,,,,,,,,322,,16.43
BENNINGTON ES,BENNINGTON,BENNINGTON,BRYAN COUNTY,13.4,12,17,,,,,,42,143,,13.81
BENNINGTON HS,BENNINGTON,BENNINGTON,BRYAN COUNTY,6.9,,,14,22,14,19,1,,,69,10.14
BERNITA HUGHES ES,ADAIR,ADAIR,MAYES COUNTY,27.6,,,,,,,,135,339,,17.17
BERRYHILL ES SOUTH,TULSA,TULSA,TULSA COUNTY,35.3,,,,,,,,149,489,,18.07
BERRYHILL HS,TULSA,TULSA,TULSA COUNTY,22,,,105,100,107,100,,,,412,18.73
BERRYHILL MS,TULSA,TULSA,TULSA COUNTY,10.1,93,78,,,,,,,171,,16.93
