School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
EDGEMERE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,10.3,,,,,,,,45,128,,16.8
EDISON ES,LAWTON,LAWTON,COMANCHE COUNTY,29,,,,,,,,67,370,,15.07
EDISON ES,MANGUM,MANGUM,GREER COUNTY,20.1,,,,,,,5,97,223,,16.17
EDISON ES,BRISTOW,BRISTOW,CREEK COUNTY,25.7,,,,,,,,221,245,,18.13
EDISON PREPARATORY MS,TULSA,TULSA,TULSA COUNTY,51,325,309,,,,,,,916,,17.96
EDMOND DOYLE ES,MCALESTER,MCALESTER,PITTSBURG COUNTY,6.4,,,,,,,,,117,,18.28
EDUCATION UNIT-MANITOU,MANITOU,MANITOU,TILLMAN COUNTY,8.7,,,12,14,18,5,,,,49,5.63
EDWARDS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,13.5,,,,,,,,49,192,,17.85
EISENHOWER ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,22.3,,,,,,,,86,384,,21.08
EISENHOWER ES,NORMAN,NORMAN,CLEVELAND COUNTY,36.2,,,,,,,,133,427,,15.47
EISENHOWER ES,LAWTON,LAWTON,COMANCHE COUNTY,16,,,,,,,,37,177,,13.38
EISENHOWER ES,ENID,ENID,GARFIELD COUNTY,10.2,,,,,,,,43,110,,15
EISENHOWER HS,LAWTON,LAWTON,COMANCHE COUNTY,84.1,,,372,347,362,306,,,,1387,16.49
EISENHOWER INTERNATIONAL ES,TULSA,TULSA,TULSA COUNTY,18.5,,,,,,,,78,270,,18.81
EISENHOWER MS,LAWTON,LAWTON,COMANCHE COUNTY,70.2,335,343,,,,,,,1030,,14.67
EL RENO HS,EL RENO,EL RENO,CANADIAN COUNTY,46.8,,,233,205,202,186,,,,826,17.65
ELDORADO ES,ELDORADO,ELDORADO,JACKSON COUNTY,7.6,12,12,,,,,,15,83,,12.89
ELDORADO HS,ELDORADO,ELDORADO,JACKSON COUNTY,4.5,,,12,9,14,5,,,,40,8.89
ELEMENTARY AT JONES ACADEMY,HARTSHORNE,HARTSHORNE,PITTSBURG COUNTY,4.4,,,,,,,,,55,,12.5
ELGIN ES,ELGIN,ELGIN,COMANCHE COUNTY,39.5,,,,,,,3,232,514,,18.96
ELGIN HS,ELGIN,ELGIN,COMANCHE COUNTY,34.4,,,131,130,144,117,3,,,522,15.26
ELGIN MS,ELGIN,ELGIN,COMANCHE COUNTY,31.6,140,143,,,,,1,,560,,17.75
ELIOT ES,TULSA,TULSA,TULSA COUNTY,25,,,,,,,,85,354,,17.56
ELK CITY HS,ELK CITY,ELK CITY,BECKHAM COUNTY,27.1,,,,137,122,106,,,,365,13.47
ELLINGTON ES,WAGONER,WAGONER,WAGONER COUNTY,22.9,,,,,,,,185,183,,16.07
ELMORE CITY-PERNELL ES,ELMORE CITY,ELMORE CITY,GARVIN COUNTY,25.5,40,34,,,,,,75,297,,14.59
EMERSON ALTERNATIVE ED. (ES),OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,12.8,,,,,,,,10,74,,6.56
EMERSON ALTERNATIVE ED. (HS),OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,57.4,,,112,134,99,66,168,,,411,10.09
EMERSON ALTERNATIVE ED. (MS),OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,5.9,31,57,,,,,168,,110,,47.12
EMERSON ES,MCALESTER,MCALESTER,PITTSBURG COUNTY,16.6,,,,,,,,,298,,17.95
EMERSON ES,COALGATE,COALGATE,COAL COUNTY,29.1,,,,,,,4,73,279,,12.23
EMERSON ES,DUNCAN,DUNCAN,STEPHENS COUNTY,22.3,,,,,,,3,66,327,,17.76
EMERSON ES,TULSA,TULSA,TULSA COUNTY,21,,,,,,,,88,261,,16.62
EMERSON MS,ENID,ENID,GARFIELD COUNTY,32,155,163,,,,,19,,462,,15.03
EMPIRE ES,DUNCAN,DUNCAN,STEPHENS COUNTY,21,32,34,,,,,,82,271,,16.81
EMPIRE HS,DUNCAN,DUNCAN,STEPHENS COUNTY,8,,,33,38,37,37,,,,145,18.13
ENID HS,ENID,ENID,GARFIELD COUNTY,104.1,,,439,445,434,356,28,,,1674,16.35
EPPERLY HEIGHTS ES,DEL CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,34.5,,,,,,,,143,485,,18.2
ERICK ES,ERICK,ERICK,BECKHAM COUNTY,13.5,17,19,,,,,,34,141,,12.96
ERICK HS,ERICK,ERICK,BECKHAM COUNTY,9,,,18,17,14,12,,,,61,6.78
ETHEL REED ES,HOLDENVILLE,HOLDENVILLE,HUGHES COUNTY,28.6,,,,,,,,210,302,,17.9
ETTA DALE JHS,EL RENO,EL RENO,CANADIAN COUNTY,13.1,,166,,,,,,,166,,12.67
EUFAULA ES,EUFAULA,EUFAULA,MCINTOSH COUNTY,37.5,,,,,,,2,189,468,,17.57
EUFAULA HS,EUFAULA,EUFAULA,MCINTOSH COUNTY,27.1,,,110,93,85,85,1,,,373,13.8
EUFAULA MS,EUFAULA,EUFAULA,MCINTOSH COUNTY,19,105,115,,,,,,,310,,16.32
EUGENE FIELD ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,29.2,,,,,,,,120,452,,19.59
EUGENE FIELD ES,TULSA,TULSA,TULSA COUNTY,28,,,,,,,,138,283,,15.04
EWING HALSELL MS,VINITA,VINITA,CRAIG COUNTY,21.3,109,126,,,,,,,353,,16.57
F.D. MOON ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,19.2,,,,,,,,83,232,,16.41
FAIRLAND ES,FAIRLAND,FAIRLAND,OTTAWA COUNTY,23.6,48,42,,,,,,79,336,,17.58
FAIRLAND HS,FAIRLAND,FAIRLAND,OTTAWA COUNTY,12.4,,,38,46,45,43,,,,172,13.87
FAIRVIEW ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,40.9,,,,,,,,137,568,,17.24
FAIRVIEW ES,ELK CITY,ELK CITY,BECKHAM COUNTY,21,,,,,,,,,326,,15.52
FAIRVIEW HS,FAIRVIEW,FAIRVIEW,MAJOR COUNTY,16.9,,,50,48,24,39,,,,161,9.53
FANSHAWE PUBLIC SCHOOL,FANSHAWE,FANSHAWE,LE FLORE COUNTY,5,6,6,,,,,,13,45,,11.6
FARGO ES,FARGO,FARGO,ELLIS COUNTY,11.6,17,25,,,,,,36,132,,14.48
FARGO HS,FARGO,FARGO,ELLIS COUNTY,6,,,11,21,14,13,,,,59,9.83
FARRIS PUBLIC SCHOOL,ATOKA,ATOKA,ATOKA COUNTY,8.3,11,6,,,,,,36,64,,12.05
FELT ES,FELT,FELT,CIMARRON COUNTY,6.2,8,,,,,,6,13,39,,9.35
FELT HS,FELT,FELT,CIMARRON COUNTY,3.4,,,5,7,5,2,,,,19,5.59
FILLMORE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,38.6,,,,,,,,196,504,,18.13
FISHER ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,29.5,,,,,,,,92,420,,17.36
FLETCHER ES,FLETCHER,FLETCHER,COMANCHE COUNTY,16.5,,,,,,,,65,207,,16.48
FLETCHER HS,FLETCHER,FLETCHER,COMANCHE COUNTY,10.9,,,34,32,40,27,,,,133,12.2
FLETCHER JHS,FLETCHER,FLETCHER,COMANCHE COUNTY,4.3,34,26,,,,,,,60,,13.95
FLOWER MOUND PUBLIC SCHOOL,LAWTON,LAWTON,COMANCHE COUNTY,16.7,,,,,,,,118,218,,20.12
FOGARTY ES,GUTHRIE,GUTHRIE,LOGAN COUNTY,26,,,,,,,1,,474,,18.27
FOREST GROVE PUBLIC SCHOOL,GARVIN,GARVIN,MCCURTAIN COUNTY,10.5,16,16,,,,,,46,110,,14.86
FORGAN ES,FORGAN,FORGAN,BEAVER COUNTY,10.3,8,12,,,,,,26,101,,12.33
FORGAN HS,FORGAN,FORGAN,BEAVER COUNTY,6.4,,,12,13,14,15,,,,54,8.44
FORT COBB-BROXTON HS,FORT COBB,FORT COBB,CADDO COUNTY,8.6,,,16,30,25,21,,,,92,10.7
FORT COBB-BROXTON LOWER ES,FORT COBB,FORT COBB,CADDO COUNTY,9.3,,,,,,,,53,128,,19.46
FORT COBB-BROXTON MS,FORT COBB,FORT COBB,CADDO COUNTY,5.3,20,22,,,,,,,72,,13.58
FORT GIBSON EARLY LRNING CTR,FORT GIBSON,FORT GIBSON,MUSKOGEE COUNTY,30.9,,,,,,,,225,257,,15.6
FORT GIBSON HS,FORT GIBSON,FORT GIBSON,MUSKOGEE COUNTY,39.2,,,183,124,151,116,,,,574,14.64
FORT GIBSON INTERMEDIATE ES,FORT GIBSON,FORT GIBSON,MUSKOGEE COUNTY,27.7,,,,,,,,,375,,13.54
FORT GIBSON MS,FORT GIBSON,FORT GIBSON,MUSKOGEE COUNTY,26.3,133,134,,,,,,,412,,15.67
FORT SUPPLY ES,FORT SUPPLY,FORT SUPPLY,WOODWARD COUNTY,11.4,7,11,,,,,,25,63,,7.72
FORT SUPPLY HS,FORT SUPPLY,FORT SUPPLY,WOODWARD COUNTY,5.4,,,6,13,14,10,,,,43,7.96
FORT TOWSON ES,FORT TOWSON,FORT TOWSON,CHOCTAW COUNTY,13.5,40,25,,,,,,55,254,,22.89
FORT TOWSON HS,FORT TOWSON,FORT TOWSON,CHOCTAW COUNTY,9.1,,,38,35,34,29,,,,136,14.95
FOSTER MS,TULSA,TULSA,TULSA COUNTY,42.1,214,229,,,,,,,711,,16.89
FOX ES,FOX,FOX,CARTER COUNTY,12.6,29,23,,,,,,44,170,,16.98
FOX HS,FOX,FOX,CARTER COUNTY,8,,,25,17,31,30,,,,103,12.88
FOYIL ES,FOYIL,FOYIL,ROGERS COUNTY,20.1,,,,,,,,86,298,,19.1
FOYIL HS,FOYIL,FOYIL,ROGERS COUNTY,9.9,,,,54,55,23,,,,132,13.33
FOYIL JHS,FOYIL,FOYIL,ROGERS COUNTY,10.4,56,42,55,,,,,,98,55,14.71
FRANCIS ES,ADA,ADA,PONTOTOC COUNTY,15.9,,,,,,,,130,143,,17.17
FREDERICK ES,FREDERICK,FREDERICK,TILLMAN COUNTY,28.6,,,,,,,,145,304,,15.7
FREDERICK HS,FREDERICK,FREDERICK,TILLMAN COUNTY,14.6,,,77,67,64,49,,,,257,17.6
FREDERICK MS,FREDERICK,FREDERICK,TILLMAN COUNTY,11.7,60,67,,,,,,,176,,15.04
FREEDOM ES,FREEDOM,FREEDOM,WOODS COUNTY,6.8,8,6,,,,,,11,42,,7.79
FREEDOM ES,SAPULPA,SAPULPA,CREEK COUNTY,27.4,,,,,,,,140,332,,17.23
FREEDOM HS,FREEDOM,FREEDOM,WOODS COUNTY,3.3,,,,6,3,8,,,,17,5.15
FRESHMAN ACADEMY,JENKS,JENKS,TULSA COUNTY,40.5,,,781,,,,,,,781,19.28
FRIEND PUBLIC SCHOOL,CHICKASHA,CHICKASHA,GRADY COUNTY,12.3,12,16,,,,,,43,143,,15.12
FRINK-CHAMBERS PUBLIC SCHOOL,MCALESTER,MCALESTER,PITTSBURG COUNTY,25,28,31,,,,,,79,320,,15.96
FRONTIER ES,RED ROCK,RED ROCK,NOBLE COUNTY,24.5,26,27,,,,,,49,215,,10.78
FRONTIER HS,RED ROCK,RED ROCK,NOBLE COUNTY,10.9,,,20,27,22,22,,,,91,8.35
GAGE ES,GAGE,GAGE,ELLIS COUNTY,6.4,5,5,,,,,,17,59,,11.88
GAGE HS,GAGE,GAGE,ELLIS COUNTY,4.4,,,9,9,5,13,2,,,36,8.64
GANS ES,GANS,GANS,SEQUOYAH COUNTY,18.3,32,28,,,,,,62,245,,16.78
GANS HS,GANS,GANS,SEQUOYAH COUNTY,9.4,,,31,26,45,23,,,,125,13.3
GARBER ES,GARBER,GARBER,GARFIELD COUNTY,14.1,24,27,,,,,,41,190,,16.38
GARBER HS,GARBER,GARBER,GARFIELD COUNTY,8.5,,,28,35,19,25,,,,107,12.59
GARFIELD ES,ENID,ENID,GARFIELD COUNTY,24.5,,,,,,,,121,301,,17.22
GARFIELD ES,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,25,,,,,,,,,466,,18.64
GARFIELD ES,PONCA CITY,PONCA CITY,KAY COUNTY,16.8,,,,,,,,81,227,,18.33
GATEWOOD ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,16.1,,,,,,,,79,192,,16.83
GEARY ES,GEARY,GEARY,BLAINE COUNTY,12.6,,,,,,,,70,170,,19.05
GEARY HS,GEARY,GEARY,BLAINE COUNTY,11,,,30,29,32,30,1,,,121,11.09
GEARY JHS,GEARY,GEARY,BLAINE COUNTY,8,21,24,,,,,,,45,,5.63
GEORGE ES,IDABEL,IDABEL,MCCURTAIN COUNTY,13.2,,,,,,,,211,,,15.98
GERONIMO ES,GERONIMO,GERONIMO,COMANCHE COUNTY,13.6,31,21,,,,,,66,204,,19.85
GERONIMO HS,GERONIMO,GERONIMO,COMANCHE COUNTY,7,,,25,23,12,21,,,,81,11.57
GERONIMO ROAD ES,FORT SILL,FORT SILL,COMANCHE COUNTY,25,,,,,,,,134,262,,15.84
GILCREASE MS,TULSA,TULSA,TULSA COUNTY,26.9,112,108,,,,,,,327,,12.16
GILMOUR ES,KINGFISHER,KINGFISHER,KINGFISHER COUNTY,29,,,,,,,,194,364,,19.24
GLENCOE ES,GLENCOE,GLENCOE,PAYNE COUNTY,14.3,38,26,,,,,,41,179,,15.38
GLENCOE HS,GLENCOE,GLENCOE,PAYNE COUNTY,7,,,31,25,20,24,,,,100,14.29
GLENPOOL ES,GLENPOOL,GLENPOOL,TULSA COUNTY,68,,,,,,,,339,925,,18.59
GLENPOOL HS,GLENPOOL,GLENPOOL,TULSA COUNTY,41.2,,,171,151,144,155,,,,621,15.07
GLENPOOL MS,GLENPOOL,GLENPOOL,TULSA COUNTY,32.9,187,182,,,,,,,528,,16.05
GLENWOOD EC,ADA,ADA,PONTOTOC COUNTY,26,,,,,,,1,409,,,15.77
GLENWOOD ES,ENID,ENID,GARFIELD COUNTY,30.6,,,,,,,,118,412,,17.32
GLOVER PUBLIC SCHOOL,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,8.6,6,11,,,,,,9,68,,8.95
GOODWELL ES,GOODWELL,GOODWELL,TEXAS COUNTY,10.6,21,14,,,,,1,26,129,,14.72
GOODWELL HS,GOODWELL,GOODWELL,TEXAS COUNTY,4.9,,,9,16,16,8,,,,49,10
GORE ES,GORE,GORE,SEQUOYAH COUNTY,17.1,,,,,,,,80,187,,15.61
GORE HS,GORE,GORE,SEQUOYAH COUNTY,12.1,,,33,39,36,44,13,,,152,13.64
GORE UPPER ES,GORE,GORE,SEQUOYAH COUNTY,8.6,41,43,,,,,3,,112,,13.37
GRACEMONT ES,GRACEMONT,GRACEMONT,CADDO COUNTY,10.1,10,14,,,,,,26,91,,11.58
GRACEMONT HS,GRACEMONT,GRACEMONT,CADDO COUNTY,5.2,,,19,11,9,7,,,,46,8.85
GRAHAM ES,WELEETKA,WELEETKA,OKFUSKEE COUNTY,6.2,8,4,,,,,,11,47,,9.35
GRAHAM HS,WELEETKA,WELEETKA,OKFUSKEE COUNTY,4.1,,,41,36,71,41,,,,189,46.1
GRAND AVENUE ES,CHICKASHA,CHICKASHA,GRADY COUNTY,24.9,,,,,,,,,433,,17.39
GRAND VIEW PUBLIC SCHOOL,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,30,35,39,,,,,,95,341,,14.53
GRANDFIELD ES,GRANDFIELD,GRANDFIELD,TILLMAN COUNTY,12.1,26,23,,,,,,49,156,,16.94
GRANDFIELD HS,GRANDFIELD,GRANDFIELD,TILLMAN COUNTY,5.1,,,15,17,17,13,,,,62,12.16
GRANDVIEW 5TH/6TH GRADE CTR,ELK CITY,ELK CITY,BECKHAM COUNTY,21.9,,,,,,,,,333,,15.21
GRANDVIEW PUBLIC SCHOOL,COMANCHE,COMANCHE,STEPHENS COUNTY,9,12,11,,,,,,41,113,,17.11
GRANITE ES,GRANITE,GRANITE,GREER COUNTY,12.7,17,17,,,,,,36,131,,13.15
GRANITE HS,GRANITE,GRANITE,GREER COUNTY,8.2,,,14,14,24,15,,,,67,8.17
GRANT PUBLIC SCHOOL,GRANT,GRANT,CHOCTAW COUNTY,15.4,16,17,,,,,,64,178,,15.71
GRANT-FOREMAN ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,23,,,,,,,,52,307,,15.61
GREASY PUBLIC SCHOOL,BUNCH,BUNCH,ADAIR COUNTY,9.7,8,10,,,,,,13,62,,7.73
GREELEY ES,TULSA,TULSA,TULSA COUNTY,11.5,,,,,,,,45,93,,12
GREEN PASTURES ES,SPENCER,SPENCER,OKLAHOMA COUNTY,11,,,,,,,,49,134,,16.64
GREENVALE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,22.5,,,,,,,,99,199,,13.24
GREENVILLE PUBLIC SCHOOL,MARIETTA,MARIETTA,LOVE COUNTY,9.7,11,7,,,,,,26,86,,11.55
GREENWOOD ES,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,36.7,,,,,,,,208,404,,16.68
GRIMES ES,TULSA,TULSA,TULSA COUNTY,17.4,,,,,,,,92,196,,16.55
GRISSOM ES,TULSA,TULSA,TULSA COUNTY,25.7,,,,,,,,109,277,,15.02
GROVE ES,TULSA,TULSA,TULSA COUNTY,35.8,,,,,,,,116,490,,16.93
GROVE HS,GROVE,GROVE,DELAWARE COUNTY,43.8,,,229,163,176,164,,,,732,16.71
GROVE LOWER ES,GROVE,GROVE,DELAWARE COUNTY,52.3,,,,,,,,356,576,,17.82
GROVE MS,GROVE,GROVE,DELAWARE COUNTY,31.9,187,180,,,,,,,524,,16.43
GROVE PUBLIC SCHOOL,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,26.9,43,37,,,,,,81,325,,15.09
GROVE UPPER ES,GROVE,GROVE,DELAWARE COUNTY,21,,,,,,,,,337,,16.05
GROVE VALLEY ES,EDMOND,EDMOND,OKLAHOMA COUNTY,30,,,,,,,,80,386,,15.53
GUTHRIE HS,GUTHRIE,GUTHRIE,LOGAN COUNTY,64.2,,,269,234,197,200,,,,900,14.02
GUTHRIE JHS,GUTHRIE,GUTHRIE,LOGAN COUNTY,35.3,278,246,,,,,,,524,,14.84
GUTHRIE UPPER ES,GUTHRIE,GUTHRIE,LOGAN COUNTY,42.3,,,,,,,2,,751,,17.8
GUYMON HS,GUYMON,GUYMON,TEXAS COUNTY,44.7,,,187,207,194,142,,,,730,16.33
GYPSY PUBLIC SCHOOL,DEPEW,DEPEW,CREEK COUNTY,11.7,5,9,,,,,,31,97,,10.94
HAILEYVILLE ES,HAILEYVILLE,HAILEYVILLE,PITTSBURG COUNTY,23.7,30,36,,,,,8,52,219,,11.77
HAILEYVILLE HS,HAILEYVILLE,HAILEYVILLE,PITTSBURG COUNTY,7.9,,,30,33,38,39,,,,140,17.72
HALL-HALSELL ES,VINITA,VINITA,CRAIG COUNTY,25,,,,,,,,205,246,,18.04
HAMILTON MS,TULSA,TULSA,TULSA COUNTY,29.3,144,108,,,,,,,389,,13.28
HAMMON ES,HAMMON,HAMMON,ROGER MILLS COUNTY,12,20,9,,,,,,39,147,,15.5
HAMMON HS,HAMMON,HAMMON,ROGER MILLS COUNTY,9.3,,,15,19,17,11,,,,62,6.67
HANNA ES,HANNA,HANNA,MCINTOSH COUNTY,6.6,7,6,,,,,,18,53,,10.76
HANNA HS,HANNA,HANNA,MCINTOSH COUNTY,2.4,,,72,87,120,93,,,,372,155
HARDESTY ES,HARDESTY,HARDESTY,TEXAS COUNTY,6.6,3,6,,,,,,10,45,,8.33
HARDESTY HS,HARDESTY,HARDESTY,TEXAS COUNTY,4.9,,,9,7,7,3,,,,26,5.31
HARDING CHARTER PREPARATORY HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,30,,,142,121,96,103,,,,462,15.4
HARDING FINE ARTS ACADEMY,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,20.5,,,72,80,74,59,,,,285,13.9
HARMONY ES,CUSHING,CUSHING,PAYNE COUNTY,16.5,,,,,,,,41,227,,16.24
HARMONY PUBLIC SCHOOL,ATOKA,ATOKA,ATOKA COUNTY,16.7,20,27,,,,,2,41,190,,13.95
HARRAH HS,HARRAH,HARRAH,OKLAHOMA COUNTY,34.3,,,,150,166,161,,,,477,13.91
HARRAH JHS,HARRAH,HARRAH,OKLAHOMA COUNTY,22.4,,167,180,,,,,,167,180,15.49
HARRAH MS,HARRAH,HARRAH,OKLAHOMA COUNTY,22.8,167,,,,,,,,355,,15.57
HARRIS-JOBE ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,13.6,,,,,,,,38,167,,15.07
HARRISON ES,CUSHING,CUSHING,PAYNE COUNTY,7.5,,,,,,,,23,97,,16
HARTSHORNE ES,HARTSHORNE,HARTSHORNE,PITTSBURG COUNTY,23.5,,,,,,,2,90,316,,17.36
HARTSHORNE HS,HARTSHORNE,HARTSHORNE,PITTSBURG COUNTY,16.6,,,,70,58,47,,,,175,10.54
HARTSHORNE JHS,HARTSHORNE,HARTSHORNE,PITTSBURG COUNTY,14,75,60,77,,,,2,,135,77,15.29
HARVEST HILLS ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,28.5,,,,,,,,188,361,,19.26
HASKELL HS,HASKELL,HASKELL,MUSKOGEE COUNTY,19.1,,,72,54,60,65,,,,251,13.14
HASKELL MS,HASKELL,HASKELL,MUSKOGEE COUNTY,11.6,49,70,,,,,,,178,,15.34
HASKELL MS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,50.9,285,285,,,,,,,868,,17.05
HAWORTH ES,HAWORTH,HAWORTH,MCCURTAIN COUNTY,18.7,,,,,,,,62,206,,14.33
HAWORTH HS,HAWORTH,HAWORTH,MCCURTAIN COUNTY,11.1,,,,47,53,64,,,,164,14.77
HAWORTH JHS,HAWORTH,HAWORTH,MCCURTAIN COUNTY,9.1,49,52,46,,,,,,101,46,16.15
HAWTHORNE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,21.2,,,,,,,1,114,304,,19.76
HAWTHORNE ES,TULSA,TULSA,TULSA COUNTY,30.2,,,,,,,,200,368,,18.81
HAYES ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,25.6,,,,,,,,141,312,,17.7
HAYES ES,ENID,ENID,GARFIELD COUNTY,19.3,,,,,,,,148,206,,18.34
HAYES ES,ADA,ADA,PONTOTOC COUNTY,27.4,,,,,,,1,,425,,15.55
HAYWARD SMITH ES,OWASSO,OWASSO,TULSA COUNTY,27,,,,,,,,78,387,,17.22
HAYWOOD PUBLIC SCHOOL,HAYWOOD,HAYWOOD,PITTSBURG COUNTY,9.1,7,17,,,,,,29,86,,12.64
HEALDTON ES,HEALDTON,HEALDTON,CARTER COUNTY,16.9,,,,,,,,75,196,,16.04
HEALDTON HS,HEALDTON,HEALDTON,CARTER COUNTY,11.3,,,37,30,37,38,,,,142,12.57
HEALDTON MS,HEALDTON,HEALDTON,CARTER COUNTY,8.1,44,37,,,,,,,122,,15.06
HEAVENER ES,HEAVENER,HEAVENER,LE FLORE COUNTY,51.9,79,64,,,,,,163,611,,14.91
HEAVENER HS,HEAVENER,HEAVENER,LE FLORE COUNTY,28,,,85,102,61,88,,,,336,12
HEFNER MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,69.2,377,396,,,,,,,1144,,16.53
HELEN PAUL LEARNING CTR,CATOOSA,CATOOSA,ROGERS COUNTY,19.3,,,,,,,,256,150,,21.04
HENNESSEY HS,HENNESSEY,HENNESSEY,KINGFISHER COUNTY,18.1,,,57,54,51,63,,,,225,12.43
HENNESSEY LOWER ES,HENNESSEY,HENNESSEY,KINGFISHER COUNTY,23.9,,,,,,,,103,224,,13.68
HENNESSEY UPPER ES,HENNESSEY,HENNESSEY,KINGFISHER COUNTY,15.7,52,58,,,,,,,238,,15.16
HENRY ZARROW INTERNATIONAL SCH,TULSA,TULSA,TULSA COUNTY,16.5,,,,,,,,58,253,,18.85
HENRYETTA ES,HENRYETTA,HENRYETTA,OKMULGEE COUNTY,38.4,,,,,,,,200,519,,18.72
HENRYETTA HS,HENRYETTA,HENRYETTA,OKMULGEE COUNTY,26.1,,,87,88,79,82,,,,336,12.87
HENRYETTA MS,HENRYETTA,HENRYETTA,OKMULGEE COUNTY,17,80,76,,,,,,,251,,14.76
HERALD ES,COLLINSVILLE,COLLINSVILLE,TULSA COUNTY,33,,,,,,,,,580,,17.58
HERITAGE INTERMEDIATE GRD CTR,COWETA,COWETA,WAGONER COUNTY,23.5,,,,,,,,,368,,15.66
HERITAGE TRAILS ES,MOORE,MOORE,CLEVELAND COUNTY,32.4,,,,,,,,119,516,,19.6
HERONVILLE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,31.9,,,,,,,,159,502,,20.72
HIGHLAND EAST JHS,MOORE,MOORE,CLEVELAND COUNTY,41.2,365,308,,,,,,,673,,16.33
HIGHLAND PARK ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,30.5,,,,,,,,123,376,,16.36
HIGHLAND PARK ES,WOODWARD,WOODWARD,WOODWARD COUNTY,17.3,,,,,,,,,255,,14.74
HIGHLAND PARK ES,STILLWATER,STILLWATER,PAYNE COUNTY,31.5,,,,,,,,181,299,,15.24
HIGHLAND WEST JHS,MOORE,MOORE,CLEVELAND COUNTY,36.6,314,294,,,,,,,608,,16.61
HILLCREST ES,EL RENO,EL RENO,CANADIAN COUNTY,20,,,,,,,,370,,,18.5
HILLCREST ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,26.4,,,,,,,,153,306,,17.39
HILLDALE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,44.8,,,,,,,,154,550,,15.71
HILLDALE HS,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,33.3,,,133,127,125,101,,,,486,14.59
HILLDALE LOWER ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,28.7,,,,,,,,198,289,,16.97
HILLDALE MS,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,25.4,129,137,,,,,1,,410,,16.18
HILLDALE UPPER ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,25.7,,,,,,,1,,393,,15.33
HINTON ES,HINTON,HINTON,CADDO COUNTY,20.1,,,,,,,,112,258,,18.41
HINTON HS,HINTON,HINTON,CADDO COUNTY,12.7,,,48,47,57,51,,,,203,15.98
HINTON MS,HINTON,HINTON,CADDO COUNTY,8.6,47,53,,,,,,,146,,16.98
HOBART ES,HOBART,HOBART,KIOWA COUNTY,23,,,,,,,,116,290,,17.65
HOBART HS,HOBART,HOBART,KIOWA COUNTY,18.7,,,74,61,57,46,,,,238,12.73
HOBART MS,HOBART,HOBART,KIOWA COUNTY,12,76,49,,,,,,,176,,14.67
HODGEN PUBLIC SCHOOL,HODGEN,HODGEN,LE FLORE COUNTY,17.8,21,19,,,,,,73,214,,16.12
HOLDENVILLE HS,HOLDENVILLE,HOLDENVILLE,HUGHES COUNTY,23,,,72,79,69,71,,,,291,12.65
HOLLIS ES,HOLLIS,HOLLIS,HARMON COUNTY,19.7,,,,,,,3,91,199,,14.87
