"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"N",1984,2000,17,"C",0,1234,3101,311,774,144,10,61,323,7,9,391,566,250,361,334
"N",1957,1971,13,"OF",0,685,1688,203,430,71,9,46,202,13,12,138,343,255,389,316
"N",1987,1999,13,"SS",0.15,1407,4522,691,1187,217,33,122,513,65,41,569,937,262,406,354
"N",1958,1969,12,"OF",0.17,1352,4426,636,1202,150,15,211,669,54,24,435,656,272,455,340
"N",1975,1992,18,"OF",0.22,1994,6847,1118,1826,332,39,340,1180,77,61,1262,1441,267,476,379
"N",1972,1987,16,"2B",0.25,1812,6354,1023,1671,232,50,155,614,557,114,833,852,263,388,349
"N",1947,1961,15,"3B",0.13,1691,5826,786,1502,252,33,190,812,40,17,755,541,258,410,343
"N",1974,1988,15,"SS",0,1371,4602,595,1167,175,48,21,324,194,88,466,664,254,326,323
"N",1973,1991,19,"OF",0.16,2097,7229,1129,2143,364,77,152,859,200,83,719,898,296,431,359
"N",1974,1988,15,"3B",0.13,1891,6792,850,1789,360,33,256,992,30,36,529,1359,263,439,318
"N",1981,1992,12,"OF",0.08,1428,4759,715,1219,216,30,241,716,66,47,551,1234,256,466,335
"N",1972,1986,15,"C",0,1269,3584,357,816,118,16,102,410,14,18,342,726,228,355,298
"N",1974,1988,15,"OF",0.07,1585,4993,660,1442,217,55,70,575,174,80,478,688,289,396,349
"N",1968,1977,10,"OF",0.2,1165,4120,545,1127,172,23,90,536,85,53,512,565,274,392,357
"N",1976,1989,14,"OF",0.14,1432,5164,614,1302,204,39,251,815,18,20,260,1201,252,453,287
"N",1962,1979,18,"1B",0.06,1853,5436,536,1418,225,25,118,614,15,27,454,581,261,377,316
"N",1995,2006,12,"3B",0,1522,5428,697,1543,327,36,123,739,42,26,432,738,284,426,339
"N",1975,1985,11,"2B",0,1309,3853,288,918,115,39,7,284,20,20,151,320,238,294,266
"N",1983,1995,13,"2B",0,777,2110,312,547,107,21,40,239,27,15,326,276,259,387,359
"N",1979,1990,12,"OF",0,1130,3377,348,946,172,20,38,375,11,15,164,246,280,377,313
"N",1982,1992,11,"OF",0,1183,3629,568,855,109,49,21,259,354,104,521,958,236,310,332
"N",1987,2000,14,"OF",0.07,1447,5379,767,1565,175,117,34,486,327,105,352,384,291,386,334
"N",1983,1993,11,"2B",0,1073,3112,415,789,185,12,86,379,23,19,387,531,254,404,336
"N",1995,2008,13,"C",0,587,1690,141,408,74,3,22,192,6,5,139,270,241,328,302
"N",1985,1999,13,"OF",0,1038,2004,328,501,73,15,12,134,154,61,358,322,250,319,370
"N",1951,1964,14,"1B",0.21,1799,6373,876,1854,282,64,49,630,37,51,844,627,291,378,375
"N",1983,1995,13,"SS",0,1108,2708,248,661,134,20,32,263,32,29,232,387,244,344,303
"N",1995,2006,12,"3B",0.08,1506,5385,777,1532,282,18,146,744,53,17,596,617,284,425,357
"N",1951,1962,11,"C",0.09,1043,3502,324,916,167,20,66,421,14,15,218,381,262,377,305
